Job Title,Company Name,Job Location,Skills Required,Date Posted
Process Improvement senior analyst,Confidential ,"Giza, Egypt",Full TimeOn-siteExperienced · 1 - 5 Yrs of Exp · Business Development · Analyst/Research · Engineering - Telecom/Technology · Call Center · Communication · analytical · Process Improvement · Telecommunication,1 month ago

Costing and Pricing Senior Analyst,IDH ,"6th of October, Giza, Egypt",Full TimeOn-siteEntry Level · 4 - 5 Yrs of Exp · Accounting/Finance · Costing · Business Analysis,1 month ago

Marketing Analyst,Saveto  ,"Abnub, Assiut, Egypt",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Analysis · Data Collection · Market Research,2 months ago

Office Manager and Financial Analyst,British University of Egypt ,"Shorouk City, Cairo, Egypt",Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Accounting/Finance · Administration · Finance · Analysis · Business Administration · Administration,1 month ago

Digital Marketing Analyst,ELHODA Trade & Supples ,"Badr City, Cairo, Egypt",Full TimeOn-siteExperienced · 4 - 7 Yrs of Exp · females_preferred · Creative/Design/Art · Marketing/PR/Advertising · digital marketing · E-Marketing · Marketing · Marketing Analyst · Social Media · Digital Marketing,1 month ago

Senior Financial Analyst,classera ,"New Cairo, Cairo, Egypt",Full TimeHybridExperienced · 5 - 7 Yrs of Exp · Accounting/Finance · Project/Program Management · Analyst/Research · Budgeting · Analyst · Finance · Financial Analysis · financial analyst · Cost · Data,2 months ago

Marketing Analyst,Confidential ,"Giza, Egypt",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Economics · Market Analysis · Market Research · Marketing · Political Science · Research · Analysis · Communication,1 month ago

Statistical analysis consultant,Exco Egypt ,"Nasr City, Cairo, Egypt",Full TimeOn-siteManager · 12 - 16 Yrs of Exp · Strategy/Consulting · Analyst · Mathematics · Communication · Data · Finance · Statistics · Accounting · Software,1 month ago

Data Analyst Intern,Middlesex University Duba ,"Dubai, United Arab Emirates",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel,23 days ago

Data Analyst,Steer Studios ,"Riyadh, Saudi Arabia",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,24 days ago

Software Business Analyst,Obeikan Digital Solutions ,"Cairo, Egypt",Full TimeHybridExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · analytical · Business Analysis · Communication · Communication skills · Computer Science · Development,1 month ago

Financial Analyst,Xceed Contact Center ,"Maadi, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · Administration · business · CMA · Economics · Commerce · Business Administration · Accounting,1 month ago

Data Analyst/Market Researcher,Intoude Foundation ,"Kuwait City, Kuwait",Full TimeEntry Level · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · Market Research · Marketing · Analysis · Research · Data Analysis · Business Administration · Business,22 days ago

Financial Analyst,IGIGroup ,"Sheikh Zayed, Giza, Egypt",Full TimeOn-siteExperienced · 4+ Yrs of Exp · Accounting/Finance · Analyst/Research · Commerce · Business Administration · Finance · Financial Analysis · CFA · Investment Banking,1 month ago

